Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-4859.5,-2302.5,-2557.0,25.082917743259006,24.83798633416494,-626.5,-457.5,-604.5,-614.0,-828.5,-626.5,-644.0,-458.0
-5180.5,-2513.0,-2667.5,24.74011280801561,26.21134970188141,-974.0,-346.0,-674.0,-519.0,-781.5,-538.0,-646.0,-702.0
-5324.0,-2540.5,-2783.5,24.83241456747055,24.198781734042697,-670.5,-704.0,-600.0,-566.0,-658.0,-648.0,-711.5,-766.0
-5144.5,-2420.0,-2724.5,24.10396003458235,23.717184664143456,-701.5,-506.0,-567.5,-645.0,-763.5,-814.5,-548.0,-598.5
-5348.0,-2822.5,-2525.5,24.979920289251538,24.07630398803287,-1059.0,-462.5,-658.0,-643.0,-979.0,-501.5,-571.0,-474.0
-5127.5,-2386.5,-2741.0,24.5600192533599,23.705269141991934,-797.5,-470.5,-657.0,-461.5,-594.0,-769.0,-598.5,-779.5
-4623.5,-2401.5,-2222.0,24.195906151665582,23.21638189819124,-644.0,-543.5,-600.5,-613.5,-668.0,-663.0,-398.0,-493.0
-4800.0,-2229.0,-2571.0,22.71963728931215,23.130491083198123,-502.0,-396.0,-599.5,-731.5,-656.5,-680.0,-647.0,-587.5
-4720.5,-2433.0,-2287.5,23.070892579025692,23.106311670939128,-549.0,-391.5,-728.5,-764.0,-601.5,-565.5,-517.0,-603.5
-5168.0,-2686.5,-2481.5,23.201854446199206,21.925501447253758,-505.0,-772.5,-670.0,-739.0,-665.5,-854.0,-572.5,-389.5
-5134.5,-2460.0,-2674.5,23.080538313918645,22.622222566604613,-601.5,-564.0,-516.5,-778.0,-841.5,-800.0,-584.5,-448.5
-4581.5,-2391.5,-2190.0,22.743346178531645,20.970832953188154,-569.5,-538.0,-577.0,-707.0,-574.5,-489.5,-577.5,-548.5
-5196.5,-2337.5,-2859.0,22.18931450843811,21.179459740055933,-830.0,-427.0,-553.5,-527.0,-759.0,-590.0,-634.0,-876.0
-4214.5,-2418.5,-1796.0,21.99070074558258,21.179488922490012,-590.5,-368.5,-745.0,-714.5,-473.0,-498.5,-426.0,-398.5
-4619.5,-2064.5,-2555.0,20.601801024542915,20.910760329829323,-574.5,-476.0,-481.5,-532.5,-867.5,-668.0,-424.0,-595.5
-4534.0,-2065.0,-2469.0,21.145767782794106,21.216390285227035,-734.0,-384.0,-548.5,-398.5,-639.0,-469.0,-607.5,-753.5
-4725.5,-2658.5,-2067.0,18.829981693956586,20.25165989001592,-709.0,-546.5,-698.5,-704.5,-501.0,-511.5,-429.5,-625.0
-4356.0,-2305.0,-2051.0,19.247418783770666,21.065043691794077,-737.0,-457.0,-454.0,-657.0,-552.5,-576.0,-489.0,-433.5
-4076.5,-2035.5,-2041.0,19.611887911955517,19.1958050860299,-590.0,-350.5,-638.5,-456.5,-522.0,-617.0,-356.0,-546.0
-4624.0,-2347.5,-2276.5,18.857557728555467,19.25814744763904,-679.5,-441.5,-630.5,-596.0,-611.5,-593.5,-475.0,-596.5
-4423.5,-2258.0,-2165.5,17.88255007929272,18.47268575032552,-617.0,-427.5,-551.5,-662.0,-462.5,-653.0,-445.5,-604.5
-4174.0,-2256.0,-1918.0,17.315778666072422,18.31687616639667,-591.0,-379.0,-657.0,-629.0,-454.5,-411.0,-470.0,-582.5
-4959.5,-2651.0,-2308.5,16.758681852287715,17.8316175421079,-657.5,-475.0,-675.5,-843.0,-572.5,-608.5,-555.0,-572.5
-4672.0,-2419.5,-2252.5,16.98357990715239,17.238412894143,-648.5,-628.5,-571.5,-571.0,-550.0,-629.0,-485.0,-588.5
-4732.5,-2760.5,-1972.0,17.085427819357978,16.73514470391803,-922.0,-450.5,-786.5,-601.5,-605.5,-601.0,-312.5,-453.0
-4073.5,-2030.0,-2043.5,15.789910705884298,16.759900926219093,-605.5,-405.0,-634.0,-385.5,-508.5,-620.5,-374.0,-540.5
-5026.5,-2877.5,-2149.0,16.646888380580478,16.06528200176027,-804.5,-826.5,-543.5,-703.0,-610.0,-728.0,-358.0,-453.0
-4281.0,-2189.5,-2091.5,16.49993248383204,16.339856266975403,-601.0,-545.0,-586.5,-457.0,-542.5,-694.0,-416.0,-439.0
-4666.5,-2110.5,-2556.0,16.40515128241645,16.66218502918879,-462.5,-507.0,-534.0,-607.0,-643.5,-656.5,-767.5,-488.5
-3830.0,-1801.5,-2028.5,16.12388736936781,16.536509925789304,-579.0,-334.5,-417.5,-470.5,-665.0,-493.0,-409.5,-461.0
-4803.0,-2100.0,-2703.0,15.490028839641147,15.40761937962638,-667.0,-494.5,-455.5,-483.0,-917.5,-709.5,-639.5,-436.5
-4580.0,-2275.0,-2305.0,15.261036712593503,16.286189063390097,-651.5,-583.5,-433.0,-607.0,-681.5,-644.0,-465.0,-514.5
-4219.0,-2253.5,-1965.5,15.105183817280663,15.259753999445174,-607.0,-386.5,-745.0,-515.0,-512.5,-619.5,-349.0,-484.5
-4147.5,-2157.5,-1990.0,14.879011858834161,14.912107831901974,-475.5,-401.5,-666.5,-614.0,-528.0,-429.5,-663.0,-369.5
-3902.0,-1889.5,-2012.5,14.890111866262224,14.29281669722663,-618.0,-274.5,-405.0,-592.0,-586.5,-535.5,-457.5,-433.0
-4979.5,-2712.0,-2267.5,14.93844932185279,13.98220944934421,-513.0,-491.5,-582.0,-1125.5,-493.5,-745.5,-520.0,-508.5
-3977.0,-2064.0,-1913.0,15.794505378935073,14.331572761800555,-428.0,-367.0,-743.5,-525.5,-655.5,-434.0,-327.5,-496.0
-4631.0,-2179.5,-2451.5,15.040903296735552,14.703003774748908,-759.0,-474.5,-520.0,-426.0,-685.0,-711.0,-514.5,-541.0
-4659.0,-2461.0,-2198.0,15.021076771948072,14.37306544913186,-841.5,-561.0,-623.5,-435.0,-594.0,-656.5,-550.5,-397.0
-3488.5,-1636.5,-1852.0,14.736347985267638,14.116659393575457,-493.5,-335.0,-395.0,-413.0,-457.5,-452.5,-417.5,-524.5
-4559.5,-2250.5,-2309.0,14.275999977853562,13.558893093797895,-544.5,-485.5,-694.5,-526.0,-626.0,-599.5,-523.5,-560.0
-3595.0,-1759.5,-1835.5,15.194009611341688,13.664517635769315,-566.0,-367.5,-433.0,-393.0,-543.0,-445.5,-347.0,-500.0
-4244.5,-2102.5,-2142.0,15.151768962542215,13.523981483777364,-713.5,-421.0,-434.5,-533.5,-802.5,-397.0,-500.0,-442.5
-3842.5,-1942.5,-1900.0,14.838404128286573,13.43949961397383,-525.0,-557.5,-411.5,-448.5,-445.0,-617.0,-457.0,-381.0
-4077.0,-2170.5,-1906.5,15.245706142319573,12.964531962076823,-541.0,-493.0,-523.0,-613.5,-430.0,-454.5,-424.5,-597.5
-3994.0,-1777.0,-2217.0,14.262664826711019,12.925678487618764,-535.0,-375.0,-493.5,-373.5,-832.0,-506.5,-451.5,-427.0
-3353.0,-1664.5,-1688.5,13.599366260899437,13.366579609447056,-456.0,-414.0,-396.5,-398.0,-419.0,-474.5,-335.0,-460.0
-4176.0,-2382.0,-1794.0,14.499926027986739,13.410850220256382,-587.0,-694.0,-534.5,-566.5,-521.5,-481.0,-365.5,-426.0
-4374.5,-2206.5,-2168.0,13.575282633304596,12.928521856996749,-732.5,-319.0,-675.0,-480.0,-591.0,-415.0,-626.5,-535.5
-3720.5,-2043.0,-1677.5,14.767973625659943,12.660794586605496,-737.0,-361.0,-597.0,-348.0,-473.0,-381.5,-374.0,-449.0
-4275.0,-2191.0,-2084.0,13.5683202902476,12.594902679655288,-697.5,-457.5,-537.5,-498.5,-564.5,-695.5,-436.0,-388.0
-3652.5,-1936.0,-1716.5,13.819359673394096,12.779579240745969,-612.0,-394.5,-518.5,-411.0,-402.0,-558.5,-339.0,-417.0
-3708.5,-1912.5,-1796.0,13.15251253578398,12.878934127754635,-601.0,-369.0,-430.5,-512.0,-554.5,-429.5,-336.0,-476.0
-3934.0,-2132.0,-1802.0,12.879176365004646,12.883630812168121,-618.0,-426.5,-673.0,-414.5,-472.0,-563.0,-270.5,-496.5
-4169.0,-2120.5,-2048.5,12.630191059907277,12.932040842374166,-564.5,-505.0,-559.0,-492.0,-571.5,-600.5,-396.0,-480.5
-3610.0,-1841.5,-1768.5,12.425383183691237,12.098519561025832,-645.5,-338.0,-458.0,-400.0,-501.0,-489.0,-411.0,-367.5
-3983.0,-1972.5,-2010.5,12.523744829495747,12.510820967621273,-545.0,-414.0,-580.0,-433.5,-517.5,-662.0,-360.0,-471.0
