Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-4013.0,-2084.0,-1929.0,-521.0,-521.0,-521.0,-521.0,-482.25,-482.25,-482.25,-482.25
-4084.5,-2129.5,-1955.0,-532.375,-532.375,-532.375,-532.375,-488.75,-488.75,-488.75,-488.75
-4103.5,-2205.0,-1898.5,-551.25,-551.25,-551.25,-551.25,-474.625,-474.625,-474.625,-474.625
-4000.5,-2162.5,-1838.0,-540.625,-540.625,-540.625,-540.625,-459.5,-459.5,-459.5,-459.5
-3966.5,-2176.0,-1790.5,-544.0,-544.0,-544.0,-544.0,-447.625,-447.625,-447.625,-447.625
-4004.0,-2251.0,-1753.0,-562.75,-562.75,-562.75,-562.75,-438.25,-438.25,-438.25,-438.25
-3877.0,-1997.5,-1879.5,-499.375,-499.375,-499.375,-499.375,-469.875,-469.875,-469.875,-469.875
-3917.0,-2088.0,-1829.0,-522.0,-522.0,-522.0,-522.0,-457.25,-457.25,-457.25,-457.25
-3975.5,-2079.0,-1896.5,-519.75,-519.75,-519.75,-519.75,-474.125,-474.125,-474.125,-474.125
-4115.0,-2062.0,-2053.0,-515.5,-515.5,-515.5,-515.5,-513.25,-513.25,-513.25,-513.25
-4024.5,-2001.0,-2023.5,-500.25,-500.25,-500.25,-500.25,-505.875,-505.875,-505.875,-505.875
-3871.5,-1979.0,-1892.5,-494.75,-494.75,-494.75,-494.75,-473.125,-473.125,-473.125,-473.125
-3870.5,-1985.0,-1885.5,-496.25,-496.25,-496.25,-496.25,-471.375,-471.375,-471.375,-471.375
-3995.0,-2042.0,-1953.0,-510.5,-510.5,-510.5,-510.5,-488.25,-488.25,-488.25,-488.25
-4229.0,-2080.0,-2149.0,-520.0,-520.0,-520.0,-520.0,-537.25,-537.25,-537.25,-537.25
-4045.5,-2095.0,-1950.5,-523.75,-523.75,-523.75,-523.75,-487.625,-487.625,-487.625,-487.625
-4211.5,-2123.5,-2088.0,-530.875,-530.875,-530.875,-530.875,-522.0,-522.0,-522.0,-522.0
-4054.0,-2109.0,-1945.0,-527.25,-527.25,-527.25,-527.25,-486.25,-486.25,-486.25,-486.25
-3921.0,-2008.5,-1912.5,-502.125,-502.125,-502.125,-502.125,-478.125,-478.125,-478.125,-478.125
-4036.0,-2085.0,-1951.0,-521.25,-521.25,-521.25,-521.25,-487.75,-487.75,-487.75,-487.75
-3938.0,-2172.5,-1765.5,-543.125,-543.125,-543.125,-543.125,-441.375,-441.375,-441.375,-441.375
-3803.5,-1951.0,-1852.5,-487.75,-487.75,-487.75,-487.75,-463.125,-463.125,-463.125,-463.125
-4080.5,-2123.5,-1957.0,-530.875,-530.875,-530.875,-530.875,-489.25,-489.25,-489.25,-489.25
-3970.5,-2064.5,-1906.0,-516.125,-516.125,-516.125,-516.125,-476.5,-476.5,-476.5,-476.5
-4108.0,-2123.5,-1984.5,-530.875,-530.875,-530.875,-530.875,-496.125,-496.125,-496.125,-496.125
-4001.0,-2149.0,-1852.0,-537.25,-537.25,-537.25,-537.25,-463.0,-463.0,-463.0,-463.0
