Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-2158.5,-1215.5,-943.0,3.305540366967519,3.031906775964631,-402.5,-247.0,-310.5,-255.5,-221.5,-244.5,-251.5,-225.5
-1884.0,-900.5,-983.5,3.2655003792709776,2.9556646767589783,-246.0,-188.0,-236.0,-230.5,-254.5,-254.5,-203.5,-271.0
-2020.0,-1086.5,-933.5,3.205092512898975,3.0281162523561056,-375.5,-200.5,-300.0,-210.5,-276.5,-263.0,-225.5,-168.5
-2356.5,-1151.5,-1205.0,3.0935795019070307,2.9945335663027235,-362.0,-223.5,-261.0,-305.0,-416.5,-313.0,-220.0,-255.5
-2139.5,-1107.0,-1032.5,3.1688843253586025,2.9867535365952387,-357.5,-280.5,-250.0,-219.0,-280.5,-341.0,-161.5,-249.5
-1952.5,-1061.0,-891.5,3.2563741591241624,3.056243321299553,-340.5,-177.0,-268.5,-275.0,-229.5,-261.0,-182.5,-218.5
-2119.5,-1113.0,-1006.5,3.1280925734175575,2.831689017679956,-332.0,-193.5,-279.0,-308.5,-234.0,-349.0,-186.5,-237.0
-2045.5,-1167.5,-878.0,3.0854231834411623,2.927673743168513,-310.0,-234.5,-318.5,-304.5,-190.0,-239.5,-223.0,-225.5
-2074.5,-1096.5,-978.0,3.1206142114268407,2.825501403874821,-324.5,-220.5,-299.5,-252.0,-273.5,-252.0,-189.5,-263.0
-1964.0,-964.0,-1000.0,3.1373381187518437,2.872290272348457,-304.0,-200.5,-254.0,-205.5,-289.0,-296.0,-192.0,-223.0
-1874.5,-991.0,-883.5,3.1278098192479877,2.8358876436948774,-358.0,-182.5,-258.5,-192.0,-258.0,-247.0,-157.5,-221.0
-2032.0,-1081.5,-950.5,3.0530227906174128,2.8484513355626,-327.5,-181.5,-320.5,-252.0,-243.5,-201.0,-240.0,-266.0
-2126.0,-1128.0,-998.0,3.037810938556989,2.7970619870556725,-360.0,-239.5,-305.5,-223.0,-248.0,-274.0,-224.5,-251.5
-2195.5,-1145.0,-1050.5,3.155226528313425,2.7370798021554945,-297.0,-222.0,-329.5,-296.5,-279.5,-276.0,-176.5,-318.5
-1988.5,-985.5,-1003.0,3.0792628649208282,2.684423727459378,-269.5,-201.0,-301.5,-213.5,-264.0,-278.5,-162.5,-298.0
-2283.5,-1197.0,-1086.5,2.998709514737129,2.7414835926559236,-416.5,-235.5,-279.0,-266.0,-243.5,-318.5,-259.0,-265.5
-1883.5,-955.0,-928.5,3.1137897710005444,2.645847808321317,-269.5,-230.5,-271.5,-183.5,-281.5,-300.0,-124.0,-223.0
-2058.0,-974.0,-1084.0,2.9678549465205935,2.784353238013056,-313.5,-170.0,-246.5,-244.0,-262.0,-252.0,-231.0,-339.0
-1809.0,-936.0,-873.0,2.9695524589882956,2.711323796047105,-307.5,-175.5,-211.5,-241.5,-205.0,-243.0,-154.5,-270.5
-1849.5,-987.5,-862.0,2.920106296737989,2.637059314714538,-278.0,-195.5,-212.0,-302.0,-216.0,-226.0,-223.0,-197.0
-2048.5,-1112.0,-936.5,2.7611501670546,2.6875458406077493,-359.5,-187.5,-255.5,-309.5,-221.5,-261.5,-192.5,-261.0
-1947.0,-1026.0,-921.0,2.8838336603509056,2.659529466099209,-281.5,-164.0,-276.5,-304.0,-284.5,-241.0,-167.0,-228.5
-2147.5,-1140.5,-1007.0,2.8494032512108487,2.71560231215424,-398.0,-211.5,-260.0,-271.0,-270.0,-257.5,-217.5,-262.0
-2087.5,-1129.5,-958.0,2.809681765900718,2.5992262270715503,-371.5,-198.0,-258.5,-301.5,-218.0,-285.5,-223.0,-231.5
-2285.0,-1165.0,-1120.0,2.8896711468696594,2.581502544879913,-362.0,-200.5,-302.5,-300.0,-345.5,-226.5,-246.5,-301.5
-2067.0,-1068.5,-998.5,2.7672654562526278,2.5483916206492316,-320.5,-217.0,-267.0,-264.0,-243.5,-265.0,-214.5,-275.5
